ID,Name,Age,Occupation,Location,Salary,Skills,Experience (years)
1,Mary White,28,Database Administrator,Austin,133156,"HTML, Agile Methodologies, Python",25
2,Robert Browning,53,Product Manager,Boston,78109,"CSS, SQL",14
3,Gary Ryan,30,Business Analyst,Chicago,145638,"HTML, Cloud Computing, CSS, SQL, Data Analysis",23
4,Matthew Chapman,48,Project Manager,San Francisco,80727,"Project Management, SQL",20
5,Mathew Rivera,28,Product Manager,Chicago,133341,"Agile Methodologies, HTML, Machine Learning, CSS, JavaScript",5
6,Timothy Figueroa MD,36,Data Scientist,Los Angeles,61857,"HTML, Python",2
7,Cynthia Fisher,31,Database Administrator,Chicago,120702,"SQL, Python, C#, HTML, Java",9
8,Michelle Adams,35,Software Engineer,Denver,108551,"SQL, C#",12
9,Kelly Woods,32,Project Manager,San Francisco,64478,"HTML, Cloud Computing",13
10,Aaron Francis,23,Web Developer,Seattle,109191,"Python, HTML",13
11,Carolyn Hall,47,Network Engineer,Boston,136640,"CSS, HTML, Data Analysis, SQL, Agile Methodologies",5
12,Logan Dillon,28,Business Analyst,Chicago,119466,"HTML, SQL, Data Analysis, UX Design",8
13,Tamara Wright,33,Project Manager,Los Angeles,143343,"Cloud Computing, SQL, JavaScript",26
14,Kayla White,34,Network Engineer,Chicago,115431,"Java, C#",28
15,Carl Cantu,27,Data Scientist,Denver,61141,"CSS, Python, Agile Methodologies, HTML",2
16,Megan Oneill,37,Systems Analyst,New York,112660,"JavaScript, Java, CSS, C#",22
17,Christopher Murphy,35,Project Manager,Miami,145391,"Data Analysis, C#, CSS",8
18,Karen Spencer,38,Product Manager,San Francisco,70132,"Java, C#",24
19,Julie Huffman,25,Project Manager,Chicago,94387,"Cloud Computing, Agile Methodologies",15
20,Jason Berry,55,Network Engineer,Los Angeles,119137,"CSS, Data Analysis, Python, HTML",21
21,Megan Kirk,55,Systems Analyst,Austin,65261,"Java, CSS, JavaScript",16
22,Stacie Sanders,25,Data Scientist,Los Angeles,139497,"JavaScript, Data Analysis, UX Design, Agile Methodologies, Cloud Computing",18
23,Katherine Clark,46,Product Manager,Austin,107876,"HTML, Project Management, Data Analysis, JavaScript, Agile Methodologies",2
24,Jennifer Sherman,44,Project Manager,Seattle,144399,"Python, SQL, Java, CSS",2
25,Claudia Anderson,26,Project Manager,Austin,73567,"Agile Methodologies, CSS, Machine Learning",30
26,Kathryn Moore,24,Graphic Designer,Boston,120985,"SQL, JavaScript, HTML, Machine Learning, Data Analysis",26
27,Danielle Cobb,36,Network Engineer,Seattle,140697,"UX Design, Java",18
28,Patricia Bates,50,Network Engineer,Seattle,75575,"JavaScript, SQL, UX Design, Java, C#",8
29,Julia Guerrero,42,Web Developer,San Francisco,71002,"Cloud Computing, Python, JavaScript, C#",7
30,Megan Fisher,46,Systems Analyst,Los Angeles,74042,"C#, Project Management, Java, HTML",11
31,Stephanie Hernandez,39,Database Administrator,San Francisco,123123,"C#, SQL",23
32,Melissa Li,49,Systems Analyst,San Francisco,110156,"UX Design, Data Analysis, JavaScript",13
33,April Robinson,39,Network Engineer,Atlanta,137769,"CSS, Project Management, UX Design, Java, Python",9
34,Karen Torres,26,Project Manager,Boston,69448,"Machine Learning, JavaScript, Project Management, Data Analysis",25
35,Matthew Cuevas,31,Database Administrator,Atlanta,94025,"JavaScript, CSS, Java",22
36,Stephanie Mason,48,Product Manager,San Francisco,130714,"Python, HTML, Data Analysis",16
37,Kimberly Foley,36,Network Engineer,Boston,78790,"JavaScript, Java",20
38,Cheryl Stevens,55,Web Developer,Chicago,98470,"CSS, Data Analysis, Java, SQL",26
39,Tammy Bautista,54,Graphic Designer,Denver,76586,"Project Management, HTML, Machine Learning, CSS, Agile Methodologies",7
40,Cody Mcneil,46,Product Manager,Los Angeles,144325,"Machine Learning, UX Design, Project Management, HTML, Agile Methodologies",27
41,Nicholas Henson,33,Project Manager,New York,130097,"SQL, Data Analysis",10
42,Richard Carson,53,Graphic Designer,New York,112932,"Machine Learning, HTML, Python",19
43,Jason Cox,47,Web Developer,San Francisco,141008,"Agile Methodologies, Python",11
44,Michelle Anderson,42,Web Developer,Miami,145593,"Cloud Computing, Python, Project Management, Java, SQL",16
45,Joanna Adams,52,Database Administrator,Austin,135339,"C#, Cloud Computing, HTML, Java, Machine Learning",9
46,Mary Morgan,50,Product Manager,Austin,66407,"C#, Project Management, UX Design, Machine Learning, HTML",17
47,Jacqueline Anderson,23,Business Analyst,Miami,124667,"HTML, Python, Agile Methodologies, SQL, UX Design",5
48,Russell Hall,51,Data Scientist,Atlanta,114982,"HTML, SQL, Data Analysis, Agile Methodologies, Project Management",1
49,Jeffrey Farmer,45,Network Engineer,Los Angeles,120444,"UX Design, SQL, Cloud Computing",22
50,Karen Chambers,55,Database Administrator,San Francisco,120325,"Python, Cloud Computing",18
51,Patricia Martin,52,Business Analyst,San Francisco,91951,"UX Design, C#, Cloud Computing, CSS, SQL",9
52,Dylan Stein,54,Data Scientist,New York,92986,"SQL, Cloud Computing, Project Management, Python",19
53,Kimberly Barron,40,Network Engineer,Miami,113105,"Data Analysis, C#, HTML",14
54,Christina Rice,51,Project Manager,Boston,110540,"Project Management, Python",21
55,Rebecca Gomez,40,Software Engineer,Los Angeles,138488,"SQL, Data Analysis, Project Management, Agile Methodologies, UX Design",4
56,Leslie Chapman DVM,28,Systems Analyst,Chicago,111002,"Java, HTML, SQL",22
57,Nathan Henson,37,Business Analyst,Chicago,97743,"Agile Methodologies, Python, Machine Learning, SQL",13
58,Timothy Duke,29,Graphic Designer,Austin,128338,"SQL, Agile Methodologies, Cloud Computing, Project Management",29
59,Paul Schmitt,31,Systems Analyst,Atlanta,126822,"CSS, UX Design, Data Analysis, C#, Java",15
60,Ashley Maynard DDS,28,Product Manager,Miami,90107,"Data Analysis, Agile Methodologies, Project Management, HTML, Cloud Computing",3
61,Greg Smith,34,Database Administrator,Denver,84461,"Cloud Computing, Python, HTML",3
62,Amy Mcdonald,22,Web Developer,Seattle,102121,"Project Management, Python, Cloud Computing, UX Design",29
63,Robert Hicks,30,Network Engineer,Los Angeles,132246,"Project Management, Java, SQL, UX Design, Python",9
64,James Johnson,54,Network Engineer,San Francisco,110889,"C#, Agile Methodologies, Project Management, Data Analysis",19
65,John Hall,35,Business Analyst,Denver,101568,"HTML, C#, CSS",4
66,Charles Gill,37,Systems Analyst,Austin,64600,"Python, Machine Learning",27
67,Joshua Schneider,38,Software Engineer,Miami,134490,"Machine Learning, Cloud Computing, C#, HTML, Java",28
68,Peggy Larson,43,Project Manager,New York,81555,"CSS, HTML, UX Design, Java, Data Analysis",8
69,Megan Blevins,27,Database Administrator,San Francisco,102932,"UX Design, SQL",6
70,Christina Porter,49,Web Developer,Seattle,112807,"Machine Learning, JavaScript, Java",8
71,Allison Kane,24,Graphic Designer,Austin,124854,"UX Design, JavaScript",20
72,Hannah Hernandez,38,Software Engineer,Los Angeles,94301,"SQL, JavaScript",7
73,Shannon Quinn,43,Systems Analyst,Los Angeles,120884,"SQL, Python, Project Management, C#",18
74,Stephanie Thompson,54,Systems Analyst,Boston,123074,"CSS, UX Design, HTML, Python",11
75,Scott Harris,50,Software Engineer,Chicago,145754,"Agile Methodologies, UX Design, Machine Learning, Data Analysis, JavaScript",19
76,James Walker,26,Systems Analyst,Los Angeles,97455,"Data Analysis, UX Design, C#, Cloud Computing",16
77,Joseph Russell,37,Data Scientist,Los Angeles,101429,"Machine Learning, Python, Data Analysis",20
78,Shirley Love,29,Software Engineer,Boston,116206,"Machine Learning, UX Design, Python, HTML",2
79,Robert Morse,44,Project Manager,Austin,127475,"Data Analysis, HTML",8
80,Natasha Moore,55,Graphic Designer,Boston,101499,"Agile Methodologies, Cloud Computing, Data Analysis, CSS, C#",25
81,Dennis Goodman,31,Data Scientist,Boston,137206,"Data Analysis, CSS, Project Management, HTML, Java",2
82,David Evans,50,Network Engineer,Boston,81320,"Agile Methodologies, SQL, Java, UX Design",18
83,Anthony Collins,38,Network Engineer,Los Angeles,148784,"Data Analysis, Project Management, Python",21
84,Michael Preston,26,Business Analyst,Austin,65118,"Python, Machine Learning, HTML",14
85,Justin Bennett,47,Project Manager,Boston,95212,"Data Analysis, HTML",15
86,Melissa Brandt,54,Software Engineer,Denver,120256,"Agile Methodologies, Cloud Computing, SQL",3
87,Andrew Martinez,46,Project Manager,Austin,128397,"Project Management, JavaScript",12
88,Bryan Frey,36,Business Analyst,Atlanta,120433,"Machine Learning, C#, CSS",30
89,John Reyes,49,Database Administrator,Chicago,81166,"SQL, Agile Methodologies, JavaScript, Project Management",25
90,Spencer Ball,50,Project Manager,Denver,60799,"Agile Methodologies, CSS, Data Analysis",18
91,Patrick Cook,41,Project Manager,Denver,90579,"Data Analysis, Agile Methodologies, CSS",27
92,Karen Walker,36,Database Administrator,Miami,65394,"JavaScript, Data Analysis, CSS, Cloud Computing",9
93,Amber King,51,Network Engineer,Miami,99119,"UX Design, Project Management",11
94,James Rodriguez,41,Business Analyst,Miami,90349,"Machine Learning, Cloud Computing, Project Management, JavaScript",22
95,Tyler Wood,43,Software Engineer,Boston,65104,"UX Design, JavaScript, Python, HTML, Machine Learning",24
96,Stephanie Powell,54,Web Developer,Miami,75189,"C#, Project Management, UX Design",27
97,Michael Jones,55,Graphic Designer,Denver,84302,"Machine Learning, Java",27
98,Evelyn Moyer,48,Business Analyst,Seattle,73519,"Machine Learning, Python",21
99,Ashley Anderson,34,Web Developer,Austin,74400,"Agile Methodologies, Cloud Computing",19
100,Phillip Howard,52,Network Engineer,Miami,119745,"UX Design, C#, Project Management, Cloud Computing",18
